time,datetime,elevation,slope,aspect,hillshade
1280620800000,2010-08-01,704.4674682617188,4,251,193
1307232000000,2011-06-05,699.556640625,10,235,205
1310515200000,2011-07-13,703.5460815429688,8,219,195
1315612800000,2011-09-10,702.8683471679688,5,228,192
1315872000000,2011-09-13,703.5682373046875,4,229,190
1315872000000,2011-09-13,703.42138671875,3,233,188
1316736000000,2011-09-23,704.1239013671875,2,242,187
1316995200000,2011-09-26,703.3666381835938,2,258,186
1317081600000,2011-09-27,697.9951782226562,2,247,186
1318204800000,2011-10-10,701.1151123046875,2,243,187
1342828800000,2012-07-21,696.7431030273438,1,332,181
1342828800000,2012-07-21,695.3945922851562,3,18,177
1360627200000,2013-02-12,701.5441284179688,2,205,184
1360627200000,2013-02-12,698.3526000976562,5,230,193
1360972800000,2013-02-16,704.537353515625,4,208,187
1363219200000,2013-03-14,710.3673095703125,6,190,183
1363219200000,2013-03-14,699.6683349609375,3,162,177
1363219200000,2013-03-14,701.0634155273438,2,198,183
1363564800000,2013-03-18,696.82861328125,4,192,183
1364428800000,2013-03-28,697.2898559570312,4,200,185
1364428800000,2013-03-28,699.52490234375,2,171,179
1364774400000,2013-04-01,688.6851806640625,8,200,188
1370390400000,2013-06-05,699.2263793945312,5,192,184
1371600000000,2013-06-19,703.6734008789062,6,235,195
1371945600000,2013-06-23,700.6503295898438,1,136,178
1373241600000,2013-07-08,696.2313232421875,2,216,183
1374451200000,2013-07-22,698.9924926757812,3,76,171
1377129600000,2013-08-22,693.2662353515625,3,349,182
1379203200000,2013-09-15,704.58837890625,2,329,183
1380672000000,2013-10-02,696.2477416992188,3,238,188
1380672000000,2013-10-02,696.3025512695312,3,230,189
1396483200000,2014-04-03,700.7733154296875,1,4,180
1398038400000,2014-04-21,699.9950561523438,5,253,195
1398038400000,2014-04-21,698.8243408203125,2,352,181
1401321600000,2014-05-29,699.7649536132812,4,26,175
1402704000000,2014-06-14,704.4580078125,3,324,186
1404000000000,2014-06-29,698.4845581054688,4,310,189
1404000000000,2014-06-29,695.6854248046875,3,24,177
1404432000000,2014-07-04,695.6786499023438,4,286,193
1405036800000,2014-07-11,695.3018798828125,4,312,190
1406419200000,2014-07-27,692.7487182617188,9,16,173
1407196800000,2014-08-05,700.588623046875,7,241,200
1408233600000,2014-08-17,696.4282836914062,5,272,197
1411084800000,2014-09-19,700.1773681640625,5,226,193
1411084800000,2014-09-19,698.0106201171875,10,245,207
1412640000000,2014-10-07,699.6795654296875,4,244,192
1414454400000,2014-10-28,690.7822265625,2,218,184
1436832000000,2015-07-14,696.5030517578125,3,310,188
1438473600000,2015-08-02,697.4512329101562,2,326,184
1443398400000,2015-09-28,698.3895263671875,3,221,187
1458777600000,2016-03-24,695.051025390625,2,27,178
1490486400000,2017-03-26,699.8483276367188,4,213,187
1493164800000,2017-04-26,700.324462890625,4,39,173
