time,datetime,elevation,slope,aspect,hillshade
1313884800000,2011-08-21,1300.75146484375,0,8,180
1319760000000,2011-10-28,1299.55126953125,0,41,180
1404259200000,2014-07-02,1302.933349609375,0,254,182
1404604800000,2014-07-06,1300.3115234375,2,164,179
1406937600000,2014-08-02,1303.1593017578125,1,321,181
1411084800000,2014-09-19,1297.3358154296875,1,36,178
1411084800000,2014-09-19,1302.92041015625,1,14,180
1414540800000,2014-10-29,1297.883056640625,1,13,180
1424908800000,2015-02-26,1304.2274169921875,1,5,180
1426723200000,2015-03-19,1306.5823974609375,0,338,181
1429315200000,2015-04-18,1304.150634765625,3,343,183
1437091200000,2015-07-17,1300.1201171875,1,357,180
1437177600000,2015-07-18,1302.9036865234375,0,128,179
1465084800000,2016-06-05,1303.422607421875,0,281,182
1465084800000,2016-06-05,1300.16845703125,0,218,181
1467590400000,2016-07-04,1302.2918701171875,1,268,182
1467849600000,2016-07-07,1299.6025390625,1,264,182
1467936000000,2016-07-08,1291.3446044921875,0,273,182
1468368000000,2016-07-13,1302.8189697265625,0,263,182
1468713600000,2016-07-17,1299.031982421875,1,260,183
1470441600000,2016-08-06,1300.0230712890625,1,258,182
1504483200000,2017-09-04,1300.895751953125,0,67,179
1504569600000,2017-09-05,1299.5439453125,0,48,180
