time,datetime,elevation,slope,aspect,hillshade
1383004800000,2013-10-29,1878.874267578125,9,195,187
1383004800000,2013-10-29,1748.2220458984375,17,207,204
1404345600000,2014-07-03,1877.4765625,1,13,180
1409529600000,2014-09-01,1879.3162841796875,0,259,182
1429747200000,2015-04-23,1877.20654296875,1,263,184
1436400000000,2015-07-09,1874.0533447265625,1,249,184
1436832000000,2015-07-14,1871.7122802734375,1,194,181
1461801600000,2016-04-28,1875.855224609375,2,254,186
1486944000000,2017-02-13,1879.585205078125,0,226,181
1490313600000,2017-03-24,1880.313232421875,1,230,182
1490832000000,2017-03-30,1876.2813720703125,1,232,182
1495843200000,2017-05-27,1874.6202392578125,1,251,182
1500595200000,2017-07-21,1878.939208984375,1,249,183
1503705600000,2017-08-26,1874.4873046875,1,223,182
