time,datetime,elevation,slope,aspect,hillshade
1334620800000,2012-04-17,400.7305908203125,4,107,168
1339977600000,2012-06-18,406.1845703125,3,107,171
1342396800000,2012-07-16,398.63360595703125,4,105,168
1366243200000,2013-04-18,399.6416931152344,4,116,169
1366243200000,2013-04-18,405.4604797363281,3,109,170
1366329600000,2013-04-19,399.2293395996094,4,98,169
1366761600000,2013-04-24,402.33782958984375,4,118,170
1366761600000,2013-04-24,400.7620544433594,4,116,170
1369440000000,2013-05-25,404.619873046875,4,110,170
1373673600000,2013-07-13,399.2385559082031,4,112,170
1373846400000,2013-07-15,400.89263916015625,4,112,169
1398211200000,2014-04-23,405.0135498046875,3,115,171
1426204800000,2015-03-13,407.85650634765625,3,113,172
1429228800000,2015-04-17,400.08270263671875,3,113,171
1430784000000,2015-05-05,397.30938720703125,3,104,172
1433980800000,2015-06-11,398.027587890625,3,116,173
1458604800000,2016-03-22,403.72662353515625,3,109,172
1461196800000,2016-04-21,397.701904296875,3,111,171
1489708800000,2017-03-17,403.7476501464844,3,115,171
1490227200000,2017-03-23,406.9061279296875,3,114,172
