time,datetime,elevation,slope,aspect,hillshade
1335571200000,2012-04-28,902.9638671875,0,296,181
1366243200000,2013-04-18,903.6412963867188,1,38,179
1366243200000,2013-04-18,902.136962890625,0,20,180
1372982400000,2013-07-05,902.8271484375,0,24,180
1398729600000,2014-04-29,906.486083984375,0,31,180
1426204800000,2015-03-13,903.6578979492188,0,76,179
1426809600000,2015-03-20,902.547119140625,1,69,177
1426809600000,2015-03-20,903.146484375,1,85,177
1432166400000,2015-05-21,903.1251220703125,1,317,183
1458691200000,2016-03-23,907.0841674804688,1,30,179
1461801600000,2016-04-28,901.5267333984375,0,32,180
1490140800000,2017-03-22,903.298583984375,0,72,179
1491868800000,2017-04-11,902.365478515625,0,1,180
