time,datetime,elevation,slope,aspect,hillshade
1344988800000,2012-08-15,496.0662841796875,3,250,189
1350086400000,2012-10-13,495.434814453125,3,249,190
1374710400000,2013-07-25,485.6130065917969,3,247,189
1375142400000,2013-07-30,497.7027893066406,3,251,190
1414713600000,2014-10-31,493.0122985839844,3,236,188
1436313600000,2015-07-08,497.79180908203125,3,245,188
1445558400000,2015-10-23,495.25555419921875,3,242,188
1445558400000,2015-10-23,494.9705505371094,3,234,187
1445558400000,2015-10-23,495.2714538574219,3,235,187
1461196800000,2016-04-21,494.7314453125,3,228,187
1487203200000,2017-02-16,491.636474609375,3,224,187
1489968000000,2017-03-20,495.5478210449219,3,239,189
