time,datetime,elevation,slope,aspect,hillshade
1404345600000,2014-07-03,565.0342407226562,2,1,180
1404432000000,2014-07-04,564.7723999023438,3,356,181
1407110400000,2014-08-04,561.8383178710938,3,333,185
1407196800000,2014-08-05,562.1309204101562,3,338,184
1407196800000,2014-08-05,562.650146484375,2,347,182
1411603200000,2014-09-25,576.0631103515625,12,58,148
1411603200000,2014-09-25,559.8795166015625,3,323,187
1412380800000,2014-10-04,559.6932373046875,3,325,186
1414454400000,2014-10-28,561.6185302734375,3,302,189
1436659200000,2015-07-12,565.139892578125,3,289,189
1436745600000,2015-07-13,561.8330078125,2,284,187
1461715200000,2016-04-27,566.4715576171875,2,288,187
1461801600000,2016-04-28,566.5791625976562,2,304,186
1502668800000,2017-08-14,563.5758666992188,2,308,186
