time,datetime,elevation,slope,aspect,hillshade
1364515200000,2013-03-29,950.588134765625,4,209,186
1404172800000,2014-07-01,949.4208374023438,3,208,185
1406073600000,2014-07-23,947.6068115234375,3,207,185
1407110400000,2014-08-04,941.0177001953125,3,213,186
1409702400000,2014-09-03,950.0072021484375,3,210,185
1411948800000,2014-09-29,950.35400390625,3,203,183
1414454400000,2014-10-28,948.896728515625,3,212,185
1436918400000,2015-07-15,949.3138427734375,3,215,185
1461801600000,2016-04-28,947.251220703125,3,217,186
1473465600000,2016-09-10,942.5004272460938,2,217,185
1486166400000,2017-02-04,949.9696655273438,3,219,186
1498262400000,2017-06-24,947.23974609375,3,213,185
1500854400000,2017-07-24,944.7440185546875,1,116,177
