time,datetime,elevation,slope,aspect,hillshade
1320796800000,2011-11-09,1153.839599609375,2,308,184
1342224000000,2012-07-14,1151.710693359375,2,288,186
1359763200000,2013-02-02,1154.2286376953125,2,283,187
1394323200000,2014-03-09,1151.5823974609375,2,297,185
1404259200000,2014-07-02,1153.443115234375,2,298,185
1404432000000,2014-07-04,1153.48583984375,1,276,184
1407196800000,2014-08-05,1150.58984375,2,313,185
1411776000000,2014-09-27,1156.6065673828125,2,289,185
1414368000000,2014-10-27,1151.82958984375,2,288,185
1436745600000,2015-07-13,1150.698486328125,2,285,187
1461715200000,2016-04-27,1153.001708984375,2,296,186
1477699200000,2016-10-29,1154.0838623046875,2,289,186
1502668800000,2017-08-14,1150.498291015625,2,289,186
