time,datetime,elevation,slope,aspect,hillshade
1344816000000,2012-08-13,1044.27001953125,2,152,177
1349913600000,2012-10-11,1042.69189453125,2,140,176
1349913600000,2012-10-11,1043.154052734375,3,134,175
1365897600000,2013-04-14,1039.8602294921875,0,94,179
1374969600000,2013-07-28,1040.319580078125,2,152,177
1400025600000,2014-05-14,1041.2762451171875,2,164,178
1407456000000,2014-08-08,1039.398681640625,2,151,177
1426550400000,2015-03-17,1041.6705322265625,2,143,177
1469750400000,2016-07-29,1038.3555908203125,3,156,177
1489536000000,2017-03-15,1042.1566162109375,2,160,178
1493251200000,2017-04-27,1041.7021484375,2,153,178
