time,datetime,elevation,slope,aspect,hillshade
1344816000000,2012-08-13,329.7437744140625,2,250,187
1349913600000,2012-10-11,327.777099609375,3,239,189
1366070400000,2013-04-16,321.8768310546875,3,265,189
1374969600000,2013-07-28,322.734130859375,3,251,189
1400025600000,2014-05-14,321.1722412109375,4,246,191
1409356800000,2014-08-30,316.85406494140625,4,196,184
1412380800000,2014-10-04,314.3765869140625,3,249,189
1426550400000,2015-03-17,317.1942138671875,3,244,189
1435795200000,2015-07-02,316.72662353515625,3,257,190
1445040000000,2015-10-17,254.42625427246094,2,53,175
1445040000000,2015-10-17,258.21209716796875,3,246,190
1469750400000,2016-07-29,308.0740051269531,7,246,199
1471478400000,2016-08-18,304.2117919921875,2,323,185
1473292800000,2016-09-08,306.68341064453125,3,242,188
1493251200000,2017-04-27,308.15350341796875,3,252,190
