time,datetime,elevation,slope,aspect,hillshade
1344816000000,2012-08-13,668.2293701171875,3,196,183
1349913600000,2012-10-11,667.7332153320312,3,197,184
1374969600000,2013-07-28,666.2207641601562,3,201,184
1400025600000,2014-05-14,666.42822265625,4,202,184
1412380800000,2014-10-04,660.8172607421875,4,198,184
1426550400000,2015-03-17,663.9994506835938,3,214,185
1426982400000,2015-03-22,665.33935546875,3,193,182
1429574400000,2015-04-21,662.6018676757812,4,195,183
1435795200000,2015-07-02,665.4535522460938,3,201,184
1469750400000,2016-07-29,659.384521484375,4,204,185
1471478400000,2016-08-18,657.0009765625,3,198,184
1471478400000,2016-08-18,657.1781005859375,4,196,183
1473292800000,2016-09-08,658.150390625,3,204,185
1493251200000,2017-04-27,661.8475341796875,3,201,184
1493251200000,2017-04-27,661.4102783203125,4,145,173
