time,datetime,elevation,slope,aspect,hillshade
1344816000000,2012-08-13,935.88037109375,0,276,182
1349913600000,2012-10-11,934.7875366210938,1,212,181
1365897600000,2013-04-14,930.2581176757812,1,214,182
1374969600000,2013-07-28,932.0072631835938,1,225,182
1400025600000,2014-05-14,932.2225341796875,1,259,184
1412380800000,2014-10-04,928.4005126953125,1,277,182
1426550400000,2015-03-17,932.1031494140625,1,291,182
1469750400000,2016-07-29,928.4354858398438,1,227,182
1471478400000,2016-08-18,927.4248657226562,1,209,182
1473292800000,2016-09-08,927.9495239257812,1,209,182
1493251200000,2017-04-27,931.4866943359375,0,276,182
