time,datetime,elevation,slope,aspect,hillshade
1339200000000,2012-06-09,522.474609375,2,196,182
1339200000000,2012-06-09,518.4736938476562,3,197,183
1339286400000,2012-06-10,517.3385620117188,3,197,183
1342051200000,2012-07-12,518.656005859375,3,217,185
1364860800000,2013-04-02,549.6417846679688,2,182,181
1364860800000,2013-04-02,522.6644287109375,3,208,185
1364860800000,2013-04-02,521.5121459960938,2,194,182
1364860800000,2013-04-02,525.282470703125,2,186,181
1366675200000,2013-04-23,517.7981567382812,2,206,183
1366761600000,2013-04-24,522.7572021484375,1,165,179
1368057600000,2013-05-09,508.43194580078125,2,179,180
1374624000000,2013-07-24,524.4017333984375,2,193,182
1375401600000,2013-08-02,518.63427734375,2,215,183
1382054400000,2013-10-18,498.6795654296875,3,72,172
1393718400000,2014-03-02,524.9260864257812,2,176,180
1425600000000,2015-03-06,522.0474243164062,1,267,184
1426464000000,2015-03-16,504.9983215332031,7,255,203
1463184000000,2016-05-14,519.38525390625,2,256,186
1463356800000,2016-05-16,520.7926025390625,1,244,185
1492732800000,2017-04-21,514.4029541015625,3,264,189
