time,datetime,elevation,slope,aspect,hillshade
1338422400000,2012-05-31,1031.622314453125,1,163,180
1343952000000,2012-08-03,1029.67578125,1,171,180
1364860800000,2013-04-02,1034.096435546875,0,111,179
1364860800000,2013-04-02,1031.590576171875,0,16,180
1374624000000,2013-07-24,1033.298828125,0,78,179
1375228800000,2013-07-31,1027.3681640625,0,73,180
1375401600000,2013-08-02,1027.759033203125,1,131,179
1429315200000,2015-04-18,1029.360107421875,0,37,180
1463356800000,2016-05-16,1030.4476318359375,0,89,179
1463788800000,2016-05-21,1031.19677734375,1,150,179
1492387200000,2017-04-17,1026.8497314453125,0,58,180
