time,datetime,elevation,slope,aspect,hillshade
1342396800000,2012-07-16,309.1888732910156,1,192,181
1364601600000,2013-03-30,313.5137939453125,1,202,182
1410739200000,2014-09-15,302.9895324707031,2,229,186
1414368000000,2014-10-27,306.422607421875,2,186,181
1414368000000,2014-10-27,300.7837829589844,2,200,182
1436918400000,2015-07-15,299.33465576171875,7,104,160
1436918400000,2015-07-15,302.3961181640625,2,197,182
1436918400000,2015-07-15,304.4609375,2,206,183
1439596800000,2015-08-15,301.793212890625,1,195,181
1439596800000,2015-08-15,300.78021240234375,2,195,182
1468627200000,2016-07-16,299.546875,2,187,181
1470096000000,2016-08-02,302.7040710449219,2,192,182
1493424000000,2017-04-29,300.5013427734375,3,196,183
1500768000000,2017-07-23,294.01898193359375,2,208,184
1500768000000,2017-07-23,295.635986328125,2,198,182
1505174400000,2017-09-12,293.97314453125,2,200,182
