time,datetime,elevation,slope,aspect,hillshade
1342396800000,2012-07-16,614.708251953125,1,195,181
1364601600000,2013-03-30,620.3397216796875,2,153,178
1436918400000,2015-07-15,605.6651611328125,1,351,181
1436918400000,2015-07-15,611.274169921875,1,197,181
1436918400000,2015-07-15,612.9232177734375,1,175,180
1439596800000,2015-08-15,610.5992431640625,1,135,178
1439596800000,2015-08-15,609.664306640625,1,192,181
1468627200000,2016-07-16,609.6111450195312,1,190,181
1470096000000,2016-08-02,613.359375,2,180,180
1493424000000,2017-04-29,611.2931518554688,1,201,181
1500768000000,2017-07-23,607.242919921875,1,186,181
1505174400000,2017-09-12,604.8377685546875,1,201,182
