time,datetime,elevation,slope,aspect,hillshade
1275091200000,2010-05-29,574.0888671875,5,267,195
1280016000000,2010-07-25,582.3676147460938,5,272,195
1280102400000,2010-07-26,577.4136352539062,4,276,194
1308009600000,2011-06-14,580.220458984375,4,270,193
1309651200000,2011-07-03,570.8565673828125,5,270,194
1365292800000,2013-04-07,577.0029296875,9,178,179
1365638400000,2013-04-11,577.5968017578125,8,263,206
1368489600000,2013-05-14,577.135498046875,3,269,191
1368489600000,2013-05-14,576.8176879882812,4,271,194
1404172800000,2014-07-01,576.6685180664062,4,275,193
1428796800000,2015-04-12,580.121826171875,4,272,193
1434758400000,2015-06-20,576.201171875,4,273,194
1437264000000,2015-07-19,575.9778442382812,4,268,193
1437436800000,2015-07-21,575.9561767578125,4,269,194
1438473600000,2015-08-02,573.962890625,4,268,194
1439424000000,2015-08-13,573.1696166992188,4,271,192
1439942400000,2015-08-19,573.8804321289062,4,271,194
1440115200000,2015-08-21,578.19921875,4,270,193
1440115200000,2015-08-21,576.7682495117188,4,273,193
1440892800000,2015-08-30,579.682861328125,4,269,194
1442448000000,2015-09-17,577.8697509765625,5,279,195
1455926400000,2016-02-20,570.8700561523438,5,276,197
1457481600000,2016-03-09,578.3688354492188,4,269,194
1462579200000,2016-05-07,576.9060668945312,4,271,193
1462579200000,2016-05-07,575.2549438476562,4,276,193
1465257600000,2016-06-07,573.7978515625,4,272,193
1466985600000,2016-06-27,569.1516723632812,4,269,194
1467417600000,2016-07-02,574.384765625,4,272,194
1468627200000,2016-07-16,576.4168701171875,4,275,193
1469750400000,2016-07-29,580.5513305664062,4,275,194
1469836800000,2016-07-30,576.9357299804688,4,273,192
1470441600000,2016-08-06,573.60888671875,4,276,193
1470787200000,2016-08-10,575.9515380859375,4,273,192
1471219200000,2016-08-15,573.501953125,4,278,193
1472428800000,2016-08-29,574.5390625,4,267,194
1474243200000,2016-09-19,575.0511474609375,4,272,193
1475366400000,2016-10-02,575.8001098632812,4,270,194
1490486400000,2017-03-26,575.962890625,4,272,192
1492905600000,2017-04-23,575.4288940429688,4,264,194
1493510400000,2017-04-30,571.98291015625,9,278,208
1495238400000,2017-05-20,574.6163330078125,4,270,192
1496448000000,2017-06-03,573.4210205078125,4,266,194
1497398400000,2017-06-14,429.788818359375,18,204,202
1497398400000,2017-06-14,766.973876953125,44,225,255
1497657600000,2017-06-17,574.2984008789062,4,269,194
1497744000000,2017-06-18,607.9976196289062,3,56,172
1497744000000,2017-06-18,532.7171630859375,27,302,249
1498780800000,2017-06-30,577.1170654296875,4,272,193
1498867200000,2017-07-01,571.3711547851562,4,270,194
1500163200000,2017-07-16,574.1046142578125,4,282,192
1502755200000,2017-08-15,575.9002075195312,4,265,194
1502841600000,2017-08-16,662.72509765625,58,146,96
1503273600000,2017-08-21,569.8326416015625,4,263,192
1503360000000,2017-08-22,575.5084228515625,4,270,193
1504137600000,2017-08-31,574.33837890625,3,253,188
1504310400000,2017-09-02,573.4271240234375,4,270,194
1505779200000,2017-09-19,574.221435546875,4,273,194
