time,datetime,elevation,slope,aspect,hillshade
1275091200000,2010-05-29,766.921875,6,315,193
1275091200000,2010-05-29,765.252197265625,4,271,193
1280016000000,2010-07-25,774.925048828125,4,274,192
1307404800000,2011-06-07,774.0799560546875,20,332,209
1308009600000,2011-06-14,772.9654541015625,3,272,191
1309651200000,2011-07-03,764.461669921875,4,273,192
1313107200000,2011-08-12,772.102294921875,4,279,192
1365292800000,2013-04-07,771.885498046875,4,273,192
1365292800000,2013-04-07,770.7297973632812,4,276,193
1365638400000,2013-04-11,772.8914794921875,4,275,192
1368489600000,2013-05-14,769.1392822265625,10,292,210
1368489600000,2013-05-14,771.4200439453125,4,276,192
1401753600000,2014-06-03,769.4716186523438,4,278,192
1404172800000,2014-07-01,771.4819946289062,4,275,192
1428796800000,2015-04-12,773.9593505859375,4,274,194
1430611200000,2015-05-03,771.7748413085938,4,268,193
1434153600000,2015-06-13,769.2037353515625,4,274,193
1434758400000,2015-06-20,771.002197265625,4,270,192
1437264000000,2015-07-19,771.5474853515625,4,275,193
1437436800000,2015-07-21,770.6526489257812,4,273,192
1438473600000,2015-08-02,768.80810546875,4,273,192
1439424000000,2015-08-13,769.2236938476562,4,274,193
1439942400000,2015-08-19,768.046142578125,4,265,192
1440115200000,2015-08-21,774.6743774414062,4,274,192
1440115200000,2015-08-21,771.603515625,4,268,193
1440892800000,2015-08-30,775.1065063476562,4,268,192
1443052800000,2015-09-24,771.8043823242188,4,270,194
1455926400000,2016-02-20,764.4868774414062,4,280,192
1457481600000,2016-03-09,773.9032592773438,4,277,193
1462579200000,2016-05-07,771.701904296875,4,277,191
1462579200000,2016-05-07,770.56689453125,3,274,191
1462579200000,2016-05-07,769.9808349609375,4,272,192
1463270400000,2016-05-15,773.59228515625,3,270,191
1465257600000,2016-06-07,769.3988037109375,4,279,191
1465516800000,2016-06-10,772.2380981445312,4,278,192
1466985600000,2016-06-27,772.357421875,13,261,220
1466985600000,2016-06-27,771.832763671875,4,272,193
1466985600000,2016-06-27,764.6988525390625,4,275,192
1467417600000,2016-07-02,770.8675537109375,4,277,192
1468281600000,2016-07-12,775.3917236328125,4,271,192
1468627200000,2016-07-16,771.75537109375,4,277,192
1469750400000,2016-07-29,776.7630004882812,4,271,193
1469836800000,2016-07-30,772.2899169921875,4,277,192
1470441600000,2016-08-06,768.5665893554688,4,270,192
1470787200000,2016-08-10,771.364501953125,4,278,192
1471219200000,2016-08-15,769.8963623046875,4,275,192
1472428800000,2016-08-29,770.494873046875,4,273,191
1475366400000,2016-10-02,772.0191650390625,4,275,192
1490486400000,2017-03-26,771.6149291992188,4,279,192
1492905600000,2017-04-23,771.4141845703125,4,272,193
1493510400000,2017-04-30,767.4512939453125,4,277,192
1494547200000,2017-05-12,772.7244262695312,4,273,193
1495238400000,2017-05-20,769.4830322265625,4,276,193
1496361600000,2017-06-02,768.5647583007812,5,276,194
1496448000000,2017-06-03,769.8909301757812,4,282,193
1497398400000,2017-06-14,774.0770874023438,5,276,195
1497657600000,2017-06-17,769.980224609375,4,276,192
1498780800000,2017-06-30,773.04296875,4,275,193
1498867200000,2017-07-01,767.4019165039062,4,277,192
1500163200000,2017-07-16,770.0438842773438,5,276,195
1502755200000,2017-08-15,772.4921875,4,274,192
1502841600000,2017-08-16,770.1680908203125,4,286,192
1502841600000,2017-08-16,769.5709228515625,4,277,193
1502841600000,2017-08-16,769.6749267578125,5,274,196
1502841600000,2017-08-16,769.6469116210938,5,275,196
1503360000000,2017-08-22,771.6676025390625,4,279,193
1504310400000,2017-09-02,770.4225463867188,4,276,193
1505779200000,2017-09-19,771.165283203125,4,274,192
