time,datetime,elevation,slope,aspect,hillshade
1276992000000,2010-06-20,256.49713134765625,3,289,188
1277164800000,2010-06-22,255.06454467773438,2,283,187
1277164800000,2010-06-22,272.04473876953125,2,271,187
1283126400000,2010-08-30,253.24417114257812,3,265,190
1299974400000,2011-03-13,249.8357391357422,4,265,191
1300406400000,2011-03-18,248.85263061523438,3,267,190
1301097600000,2011-03-26,254.45809936523438,4,260,193
1301443200000,2011-03-30,252.52395629882812,4,250,192
1301443200000,2011-03-30,253.08294677734375,3,272,191
1301788800000,2011-04-03,256.00762939453125,4,265,191
1302566400000,2011-04-12,251.8538818359375,3,287,190
1302566400000,2011-04-12,249.29566955566406,3,280,190
1306195200000,2011-05-24,254.81039428710938,3,290,188
1308009600000,2011-06-14,257.1455383300781,3,284,190
1308096000000,2011-06-15,251.61041259765625,3,266,189
1309910400000,2011-07-06,264.23443603515625,2,294,187
1311292800000,2011-07-22,274.6482849121094,3,273,189
1312156800000,2011-08-01,250.98007202148438,3,288,190
1332892800000,2012-03-28,250.5132293701172,2,251,187
1340841600000,2012-06-28,249.43472290039062,2,278,188
1363305600000,2013-03-15,253.97250366210938,2,282,188
1365724800000,2013-04-12,244.36410522460938,2,270,187
1365724800000,2013-04-12,244.34043884277344,2,286,188
1365724800000,2013-04-12,245.09982299804688,3,281,189
1366502400000,2013-04-21,254.54132080078125,3,290,188
1367280000000,2013-04-30,250.6336669921875,3,248,189
1367625600000,2013-05-04,248.68435668945312,3,286,189
1368576000000,2013-05-15,246.5977783203125,3,292,189
1368662400000,2013-05-16,247.4635467529297,3,272,191
1370217600000,2013-06-03,247.7166748046875,3,261,189
1372723200000,2013-07-02,247.73963928222656,3,267,189
1374105600000,2013-07-18,244.15386962890625,3,290,188
1376870400000,2013-08-19,261.8555908203125,3,258,191
1377216000000,2013-08-23,273.0670471191406,1,184,181
1377216000000,2013-08-23,243.82638549804688,3,279,190
1380499200000,2013-09-30,247.95436096191406,3,271,191
1395964800000,2014-03-28,251.0944366455078,3,282,190
1397692800000,2014-04-17,245.56198120117188,3,261,189
1404086400000,2014-06-30,240.83409118652344,3,264,190
1405468800000,2014-07-16,243.71859741210938,3,266,188
1409184000000,2014-08-28,242.49093627929688,3,277,190
1411257600000,2014-09-21,243.779052734375,3,287,188
1412726400000,2014-10-08,246.0224151611328,4,283,191
1428796800000,2015-04-12,246.06517028808594,3,280,188
1439683200000,2015-08-16,241.76690673828125,3,280,190
1443052800000,2015-09-24,243.19711303710938,3,276,191
1460505600000,2016-04-13,241.39309692382812,3,272,190
1491436800000,2017-04-06,241.9875946044922,3,262,190
1491696000000,2017-04-09,239.43536376953125,3,281,189
1499904000000,2017-07-13,240.98800659179688,3,258,190
1505260800000,2017-09-13,243.22586059570312,3,255,190
