time,datetime,elevation,slope,aspect,hillshade
1283385600000,2010-09-02,966.8712768554688,3,228,188
1299196800000,2011-03-04,977.419677734375,3,183,181
1299974400000,2011-03-13,990.4713745117188,4,227,189
1300406400000,2011-03-18,972.3893432617188,1,265,184
1301097600000,2011-03-26,975.5554809570312,1,270,185
1302566400000,2011-04-12,977.4750366210938,2,280,185
1302566400000,2011-04-12,987.3927612304688,2,266,186
1302566400000,2011-04-12,971.296630859375,1,276,185
1303257600000,2011-04-20,971.3610229492188,1,279,183
1308096000000,2011-06-15,969.8990478515625,1,285,183
1309737600000,2011-07-04,968.58056640625,1,293,183
1310342400000,2011-07-11,969.0994873046875,2,288,186
1334966400000,2012-04-21,968.080322265625,2,281,185
1346025600000,2012-08-27,968.0747680664062,3,304,187
1368403200000,2013-05-13,967.3930053710938,1,304,184
1368403200000,2013-05-13,969.547119140625,2,310,185
1375747200000,2013-08-06,972.0863647460938,1,286,184
1383264000000,2013-11-01,955.98974609375,1,354,181
1432339200000,2015-05-23,965.41943359375,1,298,184
1462233600000,2016-05-03,969.8858642578125,2,311,184
1489190400000,2017-03-11,970.9699096679688,2,282,185
1489190400000,2017-03-11,970.5765380859375,1,275,185
