time,datetime,elevation,slope,aspect,hillshade
1363651200000,2013-03-19,2185.9375,1,183,180
1366588800000,2013-04-22,2184.224609375,0,280,181
1372204800000,2013-06-26,2182.11767578125,0,218,181
1403827200000,2014-06-27,2192.725341796875,0,102,179
1407974400000,2014-08-14,2184.33642578125,0,307,181
1427241600000,2015-03-25,2187.8671875,0,99,180
1427760000000,2015-03-31,2186.970458984375,0,305,181
1432771200000,2015-05-28,2181.5908203125,0,283,181
1433030400000,2015-05-31,2184.625732421875,0,54,180
1459382400000,2016-03-31,2185.2802734375,0,95,179
1462233600000,2016-05-03,2183.304443359375,0,320,181
1490745600000,2017-03-29,2186.398681640625,0,331,180
1491609600000,2017-04-08,2189.443603515625,1,282,184
1492300800000,2017-04-16,2186.4677734375,0,106,180
