time,datetime,elevation,slope,aspect,hillshade,time_end
1333843200000,2012-04-08,1850.70068359375,0.0,352.0,180.0,1333843200000
1334966400000,2012-04-21,1848.627685546875,0.0,348.0,181.0,1334966400000
1364860800000,2013-04-02,1847.52783203125,2.0,23.0,178.0,1364860800000
1366848000000,2013-04-25,1845.293212890625,0.0,357.0,180.0,1366848000000
1400630400000,2014-05-21,1845.88818359375,0.0,1.0,180.0,1400630400000
1401840000000,2014-06-04,1844.981689453125,0.0,349.0,181.0,1401840000000
1404432000000,2014-07-04,1847.11328125,0.0,351.0,180.0,1404432000000
1406851200000,2014-08-01,1849.857421875,0.0,357.0,180.0,1406851200000
1407024000000,2014-08-03,1849.02294921875,0.0,345.0,181.0,1407024000000
1409097600000,2014-08-27,1849.9185791015625,0.0,356.0,180.0,1409097600000
1410134400000,2014-09-08,1846.966552734375,0.0,351.0,180.0,1410134400000
1427587200000,2015-03-29,1852.132568359375,0.0,1.0,180.0,1427760000000
1427760000000,2015-03-31,1844.9150390625,0.0,348.0,181.0,1427760000000
1462233600000,2016-05-03,1845.21923828125,0.0,357.0,180.0,1462233600000
