time,datetime,elevation,slope,aspect,hillshade,time_end
1278806400000,2010-07-11,1107.2779541015625,2.0,259.0,188.0,1278806400000
1281225600000,2010-08-08,1101.551025390625,2.0,262.0,187.0,1281744000000
1284768000000,2010-09-18,1098.699462890625,7.0,225.0,196.0,1285459200000
1284768000000,2010-09-18,1102.88037109375,2.0,267.0,187.0,1284768000000
1285459200000,2010-09-26,1103.05810546875,2.0,268.0,186.0,1285459200000
1286928000000,2010-10-13,1109.15869140625,2.0,273.0,186.0,1287619200000
1287273600000,2010-10-17,1080.24755859375,2.0,270.0,186.0,1287619200000
1300579200000,2011-03-20,1097.359619140625,2.0,283.0,187.0,1300579200000
1300665600000,2011-03-21,1098.78955078125,2.0,284.0,186.0,1300665600000
1309392000000,2011-06-30,1101.571044921875,2.0,266.0,187.0,1309046400000
1339891200000,2012-06-17,1096.8236083984375,2.0,259.0,188.0,1339891200000
1369785600000,2013-05-29,1094.168212890625,2.0,281.0,187.0,1369785600000
1370736000000,2013-06-09,1097.2139892578125,2.0,288.0,186.0,1370736000000
1425340800000,2015-03-03,1093.87890625,2.0,260.0,187.0,1425340800000
1425859200000,2015-03-09,1091.729248046875,2.0,257.0,188.0,1425859200000
1470182400000,2016-08-03,1088.7110595703125,2.0,261.0,187.0,1470182400000
