time,datetime,Snow_Albedo_Daily_Tile
1250380800000,2009-08-16,54.0
1250467200000,2009-08-17,58.0
1250553600000,2009-08-18,66.0
1250640000000,2009-08-19,84.0
1250726400000,2009-08-20,77.0
1250899200000,2009-08-22,64.0
1251072000000,2009-08-24,79.0
1251158400000,2009-08-25,80.0
1251331200000,2009-08-27,81.0
1251417600000,2009-08-28,67.0
1251504000000,2009-08-29,79.0
1251590400000,2009-08-30,66.0
1251676800000,2009-08-31,70.0
1251763200000,2009-09-01,78.0
1251849600000,2009-09-02,81.0
1251936000000,2009-09-03,78.0
1252022400000,2009-09-04,76.0
1252108800000,2009-09-05,80.0
1252195200000,2009-09-06,82.0
1252281600000,2009-09-07,78.0
1252368000000,2009-09-08,75.0
1252454400000,2009-09-09,83.0
1252540800000,2009-09-10,69.0
1252627200000,2009-09-11,78.0
1252800000000,2009-09-13,78.0
1252886400000,2009-09-14,74.0
1252972800000,2009-09-15,87.0
1253059200000,2009-09-16,79.0
1253145600000,2009-09-17,100.0
1253232000000,2009-09-18,74.0
1253318400000,2009-09-19,86.0
1253491200000,2009-09-21,88.0
1253664000000,2009-09-23,87.0
1254009600000,2009-09-27,95.0
1254096000000,2009-09-28,81.0
1254182400000,2009-09-29,83.0
1254268800000,2009-09-30,89.0
1254355200000,2009-10-01,81.0
1254441600000,2009-10-02,37.0
1254528000000,2009-10-03,80.0
1254614400000,2009-10-04,92.0
1254700800000,2009-10-05,67.0
1254787200000,2009-10-06,98.0
1254873600000,2009-10-07,92.0
1255046400000,2009-10-09,94.0
1255132800000,2009-10-10,76.0
1255219200000,2009-10-11,100.0
1255478400000,2009-10-14,77.0
1255564800000,2009-10-15,100.0
1255737600000,2009-10-17,95.0
1255824000000,2009-10-18,76.0
1255910400000,2009-10-19,90.0
1255996800000,2009-10-20,57.0
1266624000000,2010-02-20,92.0
1266710400000,2010-02-21,88.0
1266883200000,2010-02-23,80.0
1267142400000,2010-02-26,100.0
1267228800000,2010-02-27,87.0
1267315200000,2010-02-28,92.0
1267401600000,2010-03-01,98.0
1267488000000,2010-03-02,79.0
1267574400000,2010-03-03,75.0
1267660800000,2010-03-04,100.0
1267747200000,2010-03-05,100.0
1268006400000,2010-03-08,57.0
1268179200000,2010-03-10,97.0
1268265600000,2010-03-11,78.0
1268438400000,2010-03-13,90.0
1268524800000,2010-03-14,72.0
1268611200000,2010-03-15,77.0
1268697600000,2010-03-16,60.0
1268784000000,2010-03-17,78.0
1268870400000,2010-03-18,74.0
1268956800000,2010-03-19,90.0
1269043200000,2010-03-20,77.0
1269129600000,2010-03-21,75.0
1269216000000,2010-03-22,77.0
1269302400000,2010-03-23,83.0
1269388800000,2010-03-24,84.0
1269475200000,2010-03-25,86.0
1269561600000,2010-03-26,78.0
1269648000000,2010-03-27,73.0
1269734400000,2010-03-28,75.0
1269820800000,2010-03-29,75.0
1269907200000,2010-03-30,73.0
1269993600000,2010-03-31,76.0
1270080000000,2010-04-01,73.0
1270166400000,2010-04-02,78.0
1270252800000,2010-04-03,78.0
1270339200000,2010-04-04,79.0
1270425600000,2010-04-05,78.0
1270512000000,2010-04-06,79.0
1270684800000,2010-04-08,76.0
1270771200000,2010-04-09,77.0
1270857600000,2010-04-10,79.0
1270944000000,2010-04-11,75.0
1271030400000,2010-04-12,81.0
1271116800000,2010-04-13,76.0
1271289600000,2010-04-15,74.0
1271376000000,2010-04-16,68.0
1271635200000,2010-04-19,70.0
1271721600000,2010-04-20,71.0
1271808000000,2010-04-21,68.0
1271980800000,2010-04-23,74.0
1272067200000,2010-04-24,72.0
1272153600000,2010-04-25,71.0
1272326400000,2010-04-27,81.0
1272412800000,2010-04-28,35.0
1272499200000,2010-04-29,66.0
1272585600000,2010-04-30,66.0
1272672000000,2010-05-01,44.0
1272758400000,2010-05-02,67.0
1272844800000,2010-05-03,72.0
1272931200000,2010-05-04,69.0
1273017600000,2010-05-05,55.0
1273104000000,2010-05-06,66.0
1273190400000,2010-05-07,69.0
1273276800000,2010-05-08,69.0
1273449600000,2010-05-10,61.0
1273881600000,2010-05-15,70.0
1274054400000,2010-05-17,74.0
1274227200000,2010-05-19,88.0
